Source,Target,Type,Id,Label,timeset,Weight
215,273,Undirected,1078,,,4
215,275,Undirected,1079,,,2
215,276,Undirected,1080,,,2
215,278,Undirected,1081,,,3
215,279,Undirected,1082,,,3
215,280,Undirected,1083,,,2
215,281,Undirected,1084,,,3
215,282,Undirected,1085,,,3
215,283,Undirected,1086,,,4
215,284,Undirected,1087,,,2
215,285,Undirected,1088,,,5
215,287,Undirected,1089,,,3
215,298,Undirected,1090,,,2
215,300,Undirected,1091,,,2
215,305,Undirected,1092,,,1
215,309,Undirected,1093,,,3
215,310,Undirected,1094,,,3
215,311,Undirected,1095,,,3
215,314,Undirected,1096,,,2
215,315,Undirected,1097,,,2
215,316,Undirected,1098,,,2
215,317,Undirected,1099,,,4
215,318,Undirected,1100,,,1
215,319,Undirected,1101,,,3
215,320,Undirected,1102,,,2
215,321,Undirected,1103,,,2
215,322,Undirected,1104,,,7
215,323,Undirected,1105,,,2
215,324,Undirected,1106,,,1
215,326,Undirected,1107,,,4
215,327,Undirected,1108,,,2
215,328,Undirected,1109,,,2
215,329,Undirected,1110,,,2
215,330,Undirected,1111,,,2
215,331,Undirected,1112,,,2
215,332,Undirected,1113,,,2
215,334,Undirected,1114,,,2
215,335,Undirected,1115,,,2
215,336,Undirected,1116,,,2
215,337,Undirected,1117,,,2
215,338,Undirected,1118,,,2
215,339,Undirected,1119,,,2
215,340,Undirected,1120,,,2
215,341,Undirected,1121,,,2
215,342,Undirected,1122,,,2
215,343,Undirected,1123,,,7
215,344,Undirected,1124,,,2
215,345,Undirected,1125,,,3
215,346,Undirected,1126,,,2
215,347,Undirected,1127,,,2
215,348,Undirected,1128,,,1
215,350,Undirected,1129,,,2
215,351,Undirected,1130,,,1
215,353,Undirected,1131,,,3
215,354,Undirected,1132,,,2
215,355,Undirected,1133,,,1
215,356,Undirected,1134,,,3
215,358,Undirected,1135,,,1
215,360,Undirected,1136,,,2
215,362,Undirected,1137,,,2
215,363,Undirected,1138,,,2
215,366,Undirected,1139,,,2
215,368,Undirected,1140,,,3
215,373,Undirected,1141,,,2
215,374,Undirected,1142,,,2
215,376,Undirected,1143,,,2
215,377,Undirected,1144,,,2
215,378,Undirected,1145,,,2
215,379,Undirected,1146,,,2
215,380,Undirected,1147,,,2
215,382,Undirected,1148,,,2
215,383,Undirected,1149,,,2
215,384,Undirected,1150,,,1
215,385,Undirected,1151,,,3
215,386,Undirected,1152,,,2
215,387,Undirected,1153,,,2
215,389,Undirected,1154,,,2
215,390,Undirected,1155,,,2
215,391,Undirected,1156,,,2
215,392,Undirected,1157,,,2
215,395,Undirected,1158,,,2
216,216,Undirected,1164,,,1
154,223,Undirected,1175,,,1
154,298,Undirected,1176,,,2
223,223,Undirected,1178,,,1
14,227,Undirected,1183,,,1
14,252,Undirected,1184,,,1
227,255,Undirected,1185,,,2
227,256,Undirected,1186,,,2
227,260,Undirected,1187,,,2
227,265,Undirected,1188,,,2
227,281,Undirected,1189,,,2
227,283,Undirected,1190,,,2
227,317,Undirected,1191,,,2
227,338,Undirected,1192,,,2
227,353,Undirected,1193,,,2
227,385,Undirected,1194,,,2
227,387,Undirected,1195,,,2
227,227,Undirected,1197,,,1
240,229,Undirected,1201,,,1
215,231,Undirected,1203,,,1
201,232,Undirected,1206,,,1
201,294,Undirected,1207,,,1
232,350,Undirected,1208,,,1
232,232,Undirected,1210,,,1
236,265,Undirected,1213,,,2
236,271,Undirected,1214,,,2
236,275,Undirected,1215,,,1
236,278,Undirected,1216,,,2
236,320,Undirected,1217,,,2
236,321,Undirected,1218,,,2
236,322,Undirected,1219,,,2
236,331,Undirected,1220,,,2
236,332,Undirected,1221,,,2
236,353,Undirected,1222,,,2
236,381,Undirected,1223,,,2
236,387,Undirected,1224,,,2
236,391,Undirected,1225,,,2
236,236,Undirected,1227,,,1
209,236,Undirected,1231,,,1
216,240,Undirected,1234,,,1
216,236,Undirected,1235,,,1
240,237,Undirected,1236,,,1
240,265,Undirected,1237,,,3
237,281,Undirected,1238,,,2
237,237,Undirected,1240,,,1
238,256,Undirected,1245,,,2
238,259,Undirected,1246,,,2
238,278,Undirected,1247,,,2
238,280,Undirected,1248,,,2
238,281,Undirected,1249,,,2
238,314,Undirected,1250,,,2
238,328,Undirected,1251,,,2
238,329,Undirected,1252,,,2
238,353,Undirected,1253,,,2
238,356,Undirected,1254,,,2
238,391,Undirected,1255,,,2
238,238,Undirected,1257,,,1
239,256,Undirected,1264,,,2
239,260,Undirected,1265,,,4
239,265,Undirected,1266,,,2
239,278,Undirected,1267,,,3
239,279,Undirected,1268,,,1
239,280,Undirected,1269,,,4
239,281,Undirected,1270,,,2
239,283,Undirected,1271,,,2
239,285,Undirected,1272,,,3
239,300,Undirected,1273,,,2
239,309,Undirected,1274,,,2
239,311,Undirected,1275,,,2
239,314,Undirected,1276,,,2
239,317,Undirected,1277,,,2
239,326,Undirected,1278,,,2
239,328,Undirected,1279,,,2
239,329,Undirected,1280,,,2
239,330,Undirected,1281,,,2
239,333,Undirected,1282,,,2
239,337,Undirected,1283,,,2
239,338,Undirected,1284,,,2
239,340,Undirected,1285,,,2
239,341,Undirected,1286,,,2
239,342,Undirected,1287,,,2
239,353,Undirected,1288,,,2
239,356,Undirected,1289,,,2
239,362,Undirected,1290,,,2
239,366,Undirected,1291,,,2
239,374,Undirected,1292,,,2
239,376,Undirected,1293,,,2
239,377,Undirected,1294,,,2
239,382,Undirected,1295,,,2
239,383,Undirected,1296,,,2
239,385,Undirected,1297,,,2
239,387,Undirected,1298,,,2
239,391,Undirected,1299,,,2
239,392,Undirected,1300,,,2
239,239,Undirected,1302,,,1
240,240,Undirected,1307,,,2
240,227,Undirected,1308,,,2
240,236,Undirected,1309,,,6
240,239,Undirected,1310,,,24
240,241,Undirected,1311,,,7
240,243,Undirected,1312,,,13
240,252,Undirected,1313,,,10
240,255,Undirected,1314,,,2
240,256,Undirected,1315,,,2
240,259,Undirected,1316,,,1
240,271,Undirected,1318,,,2
240,277,Undirected,1319,,,3
240,278,Undirected,1320,,,3
240,280,Undirected,1321,,,2
240,281,Undirected,1322,,,2
